403031067,4,17,3,78,160,0,26,81,48,98,108,12,27,3,22,27,65,22,70,44,60,0,24,116,98,22,82,0,44,18,36,66,68,7,15,0,48,271,81,0,5,8,18,10,4,21,20,18,31,85,85
403031068,15,76,8,378,229,26,39,232,163,277,1017,38,125,14,144,161,213,194,84,81,181,0,186,496,79,13,80,5,163,38,175,175,163,65,90,3,149,502,110,4,78,25,79,82,11,126,49,95,21,151,157
403031069,14,42,14,234,199,61,41,211,409,667,147,61,46,0,195,40,75,28,99,67,68,0,50,312,166,13,119,0,88,42,111,72,122,18,58,6,49,323,86,0,3,8,27,7,4,119,18,17,21,87,91
403031070,13,47,0,190,112,0,9,86,48,61,65,29,72,8,33,133,63,97,37,42,87,0,43,107,41,34,38,0,83,17,94,49,92,15,50,0,55,246,79,0,32,12,42,63,6,63,36,301,17,47,82
403041071,0,12,3,56,75,0,9,43,21,201,56,13,17,0,12,8,50,17,24,27,47,0,21,190,29,4,27,0,23,14,29,42,44,5,14,0,20,161,56,0,9,5,29,9,4,41,9,0,10,65,48
403041072,4,22,14,66,103,0,17,35,32,127,58,9,23,4,23,31,70,29,59,48,38,0,59,207,60,23,29,0,40,11,34,38,58,16,11,0,28,186,51,0,11,27,33,5,6,69,28,19,23,71,36
403041073,4,22,0,126,279,0,9,123,49,293,535,10,164,4,42,18,33,24,53,26,77,0,226,356,79,193,113,0,94,25,154,151,82,17,89,4,24,934,145,0,21,9,42,40,7,84,18,10,7,118,114
403041074,4,6,0,107,153,0,19,102,23,189,135,12,104,9,30,97,56,36,75,37,56,6,159,327,103,41,33,0,45,5,64,86,53,14,55,0,37,302,63,0,62,13,21,15,0,85,17,43,3,69,60
403041075,0,5,52,23,14,0,3,16,12,19,5,4,4,0,9,10,17,5,8,19,0,0,3,5,10,0,3,0,5,4,10,3,18,0,5,0,4,18,0,0,4,6,8,0,5,5,7,0,18,9,0
403041076,0,4,0,27,20,0,6,15,12,62,8,6,10,0,4,3,10,12,13,14,8,0,5,20,8,0,9,0,14,0,9,3,5,0,3,0,9,10,0,0,0,0,0,0,0,3,5,0,17,7,7
403041077,5,16,0,45,71,4,10,24,20,56,59,7,6,3,21,39,32,35,29,18,10,0,28,83,46,0,26,0,29,12,27,10,29,0,11,0,19,112,29,0,17,22,25,3,0,27,7,4,0,65,35
403041078,3,6,11,46,42,0,5,11,12,34,21,3,8,0,10,48,36,10,16,21,46,0,13,139,17,0,14,0,27,10,14,9,32,6,5,0,10,65,30,0,11,9,16,5,4,29,30,17,12,45,30
403041079,0,0,0,11,12,0,3,0,3,26,33,0,15,0,11,4,18,10,0,9,12,0,31,129,0,0,6,0,3,0,9,12,5,0,4,0,4,26,8,0,0,0,6,6,0,17,9,3,0,5,8
403041080,0,13,0,53,74,0,10,24,24,68,73,12,5,0,22,15,35,16,28,47,47,0,19,176,24,5,60,0,26,8,23,37,41,12,9,0,28,184,47,0,14,4,18,7,3,37,39,17,5,62,39
